timeMillis,boost,rpm,fuelTrim,fuelPressure,coolant,load,speed,throttle,timing
1777642548376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642548576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642548776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642548977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642549178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642549378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642549579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642549779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642549980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642550180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642550380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642550580,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642550781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642550981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642551182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642551382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642551582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642551783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642551983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642552184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642552385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642552586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642552787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642552987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642553188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642553388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642553589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642553791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642553991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642554192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642554392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642554592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642554793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777642554994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
